processing_type, difficulty, N, nonce, seconds, batch_size
sync, 4, _, 180469, 0.0346
sync, 4, _, 180469, 0.0243
sync, 5, _, 180469, 0.4045
sync, 5, _, 180469, 0.4124
sync, 5, _, 180469, 0.4523
sync, 6, _, 6012670, 13.6978
sync, 6, _, 6012670, 13.6889
sync, 7, _, 116837894, 265.8167
sync, 7, _, 116837894, 250.9868
sync, 7, _, 116837894, 257.6047
sync, 8, _, 2264300972, 5455.3911
sync, 8, _, 2264300972, 4879.8016
async, 4, 3, 11081, 0.0258, 10000
async, 4, 3, 11081, 0.0604, 10000
async, 4, 3, 11081, 0.0742, 10000
async, 5, 3, 180469, 0.2139, 10000
async, 5, 3, 180469, 0.0742, 10000
async, 6, 1, 6012670, 6.1069, 10000
async, 6, 1, 6012670, 5.4676, 10000
async, 6, 1, 6012670, 5.8236, 10000
async, 6, 2, 6012670, 5.3215, 10000
async, 6, 2, 6012670, 5.8533, 10000
async, 6, 2, 6012670, 5.4314, 10000
async, 6, 3, 6012670, 5.3766, 10000
async, 6, 3, 6012670, 5.7223, 10000
async, 6, 3, 6012670, 5.6176, 10000
async, 6, 4, 6012670, 5.9779, 10000
async, 6, 4, 6012670, 6.2362, 10000
async, 6, 4, 6012670, 5.7658, 10000
async, 6, 4, 6012670, 0.7320, 1000000
async, 6, 5, 6012670, 5.6853, 10000
async, 6, 5, 6012670, 6.3157, 10000
async, 6, 5, 6012670, 6.1175, 10000
async, 7, 1, 116837894, 345.5502, 10000
async, 7, 3, 116837894, 230.8084, 10000
async, 7, 3, 116837894, 158.6139, 10000
async, 7, 4, 116837894, 97.3846, 1000000
async, 7, 4, 116837894, 85.4027, 1000000
async, 7, 4, 116837894, 85.6767, 1000000
async, 7, 5, 116837894, 151.0523, 10000
async, 7, 5, 116837894, 144.4275, 10000
async, 7, 5, 116837894, 145.6255, 10000
async, 8, 1, 2264300972, 1547.4578, 10000000
async, 8, 2, 2264300972, 1620.4687, 10000000
async, 8, 3, 2264300972, 1484.3450, 10000000

