poll_task_wait_time difficulty n_workers seconds nonce
1 5 1 17.679 5342
1 5 1 17.683 5342
1 5 1 19.930 5342
1 5 1 18.138 5342
1 5 1 21.561 5342
1 5 1 20.124 5342
1 5 1 23.134 5342
1 6 1 82.209 852595
1 6 1 64.852 852595
1 6 2 40.071 852595
1 6 2 38.976 852595
1 6 3 30.252 852595
1 6 3 33.732 852595
1 6 4 25.098 852595
1 6 5 25.728 852595
1 6 5 25.005 852595
1 6 6 21.330 852595
1 6 7 17.423 852595
1 6 7 16.551 852595
1 7 1 559.269 13865359
1 7 1 554.063 13865359
1 7 2 303.097 13865359
1 7 2 286.383 13865359
1 7 3 200.234 13865359
1 7 3 196.441 13865359
1 7 4 150.309 13865359
1 7 5 125.920 13865359
1 7 5 128.692 13865359
1 7 6 103.503 13865359
1 7 7 89.280 13865359
1 7 7 94.479 13865359
