env finder encode difficulty nonce binary_nonce length seconds data
local 1 UTF-8 1 15 1111 4 0.000 COMSM0010cloud
local 1 UTF-8 2 3 000011 6 0.000 COMSM0010cloud
local 1 UTF-8 3 472 111011000 9 0.005 COMSM0010cloud
local 1 UTF-8 4 8854 010001010010110 15 0.190 COMSM0010cloud
local 1 UTF-8 5 414455 00111101001111011 17 0.722 COMSM0010cloud
local 1 UTF-8 6 4372664 10000101011100010111000 23 57.6665 COMSM0010cloud
local 1 UTF-8 7 13865359 000110100111001000110001111 27 641.316 COMSM0010cloud
local 2 UTF-8 1 0 000000 6 0.000 COMSM0010cloud
local 2 UTF-8 2 1 0000001 7 0.000 COMSM0010cloud
local 2 UTF-8 3 316 0000100111100 13 0.34 COMSM0010cloud
local 2 UTF-8 4 3436 000000000000000110101101100 27 0.309 COMSM0010cloud
local 2 UTF-8 5 5342 000000000000000001010011011110 30 0.439 COMSM0010cloud
local 2 UTF-8 6 852595 0000011010000001001110011 25 49.418 COMSM0010cloud
local 2 UTF-8 7 13865359 000110100111001000110001111 27 564.902 COMSM0010cloud
local 2 UTF-8 8 423811110 00011001010000101101100000100110 32 13677.836 COMSM0010cloud
cloud 2 UTF-8 1 0 000000 6 0.000 COMSM0010cloud
cloud 2 UTF-8 2 1 0000001 7 0.000 COMSM0010cloud
cloud 2 UTF-8 3 316 0000100111100 13 0.031 COMSM0010cloud
cloud 2 UTF-8 4 3436 000000000000000110101101100 27 0.275 COMSM0010cloud
cloud 2 UTF-8 5 5342 000000000000000001010011011110 30 0.388 COMSM0010cloud
cloud 2 UTF-8 6 852595 0000011010000001001110011 25 41.604 COMSM0010cloud
cloud 2 UTF-8 7 13865359 000110100111001000110001111 27 495.283
